analysis_room_type,analysis_class_name,group_key,method,n_objects
apartment,bed,apartment__bed,infinigen,10
apartment,cabinet,apartment__cabinet,infinigen,56
apartment,chair,apartment__chair,infinigen,9
apartment,decor,apartment__decor,infinigen,53
apartment,lamp,apartment__lamp,infinigen,18
apartment,sofa,apartment__sofa,infinigen,1
apartment,table,apartment__table,infinigen,13
apartment,tv,apartment__tv,infinigen,2
bathroom,cabinet,bathroom__cabinet,infinigen,95
bathroom,decor,bathroom__decor,infinigen,142
bathroom,lamp,bathroom__lamp,infinigen,142
bathroom,table,bathroom__table,infinigen,7
bedroom,bed,bedroom__bed,3dfront,6300
bedroom,bed,bedroom__bed,cube,5
bedroom,bed,bedroom__bed,infinigen,434
bedroom,bed,bedroom__bed,ollama_llm,96
bedroom,bed,bedroom__bed,relaxed,61
bedroom,bed,bedroom__bed,retrieval,168
bedroom,cabinet,bedroom__cabinet,3dfront,1169
bedroom,cabinet,bedroom__cabinet,diffuscene,616
bedroom,cabinet,bedroom__cabinet,infinigen,2014
bedroom,cabinet,bedroom__cabinet,ollama_llm,62
bedroom,cabinet,bedroom__cabinet,relaxed,12
bedroom,cabinet,bedroom__cabinet,retrieval,252
bedroom,chair,bedroom__chair,3dfront,1144
bedroom,chair,bedroom__chair,infinigen,21
bedroom,decor,bedroom__decor,3dfront,220
bedroom,decor,bedroom__decor,infinigen,944
bedroom,double_bed,bedroom__double_bed,diffuscene,430
bedroom,double_bed,bedroom__double_bed,retrieval,168
bedroom,lamp,bedroom__lamp,cube,10
bedroom,lamp,bedroom__lamp,diffuscene,552
bedroom,lamp,bedroom__lamp,infinigen,422
bedroom,lamp,bedroom__lamp,ollama_llm,96
bedroom,lamp,bedroom__lamp,relaxed,116
bedroom,lamp,bedroom__lamp,retrieval,336
bedroom,nightstand,bedroom__nightstand,3dfront,8806
bedroom,nightstand,bedroom__nightstand,cube,10
bedroom,nightstand,bedroom__nightstand,diffuscene,1096
bedroom,nightstand,bedroom__nightstand,infinigen,9
bedroom,nightstand,bedroom__nightstand,ollama_llm,192
bedroom,nightstand,bedroom__nightstand,relaxed,128
bedroom,nightstand,bedroom__nightstand,retrieval,672
bedroom,sofa,bedroom__sofa,3dfront,61
bedroom,table,bedroom__table,3dfront,1241
bedroom,table,bedroom__table,infinigen,213
bedroom,table,bedroom__table,ollama_llm,8
bedroom,tv,bedroom__tv,3dfront,1218
bedroom,tv,bedroom__tv,infinigen,7
bedroom,wardrobe,bedroom__wardrobe,3dfront,5191
bedroom,wardrobe,bedroom__wardrobe,cube,10
bedroom,wardrobe,bedroom__wardrobe,diffuscene,860
bedroom,wardrobe,bedroom__wardrobe,ollama_llm,96
bedroom,wardrobe,bedroom__wardrobe,relaxed,122
bedroom,wardrobe,bedroom__wardrobe,retrieval,336
hallway,cabinet,hallway__cabinet,infinigen,201
hallway,decor,hallway__decor,infinigen,98
hallway,lamp,hallway__lamp,infinigen,89
hallway,table,hallway__table,infinigen,8
kitchen,bed,kitchen__bed,infinigen,1
kitchen,chair,kitchen__chair,cube,152
kitchen,chair,kitchen__chair,infinigen,62
kitchen,decor,kitchen__decor,cube,112
kitchen,decor,kitchen__decor,infinigen,18
kitchen,table,kitchen__table,cube,75
kitchen,table,kitchen__table,infinigen,25
livingroom,bed,livingroom__bed,3dfront,990
livingroom,bed,livingroom__bed,infinigen,1
livingroom,cabinet,livingroom__cabinet,3dfront,2699
livingroom,cabinet,livingroom__cabinet,cube,9
livingroom,cabinet,livingroom__cabinet,infinigen,1396
livingroom,cabinet,livingroom__cabinet,ollama_llm,2
livingroom,cabinet,livingroom__cabinet,relaxed,7
livingroom,cabinet,livingroom__cabinet,retrieval,189
livingroom,chair,livingroom__chair,3dfront,12317
livingroom,chair,livingroom__chair,cube,102
livingroom,chair,livingroom__chair,infinigen,17
livingroom,chair,livingroom__chair,relaxed,100
livingroom,chair,livingroom__chair,retrieval,252
livingroom,decor,livingroom__decor,3dfront,750
livingroom,decor,livingroom__decor,infinigen,781
livingroom,lamp,livingroom__lamp,cube,56
livingroom,lamp,livingroom__lamp,infinigen,155
livingroom,lamp,livingroom__lamp,ollama_llm,2
livingroom,lamp,livingroom__lamp,relaxed,54
livingroom,lamp,livingroom__lamp,retrieval,252
livingroom,nightstand,livingroom__nightstand,3dfront,2605
livingroom,nightstand,livingroom__nightstand,infinigen,9
livingroom,sofa,livingroom__sofa,3dfront,3043
livingroom,sofa,livingroom__sofa,cube,56
livingroom,sofa,livingroom__sofa,infinigen,81
livingroom,sofa,livingroom__sofa,ollama_llm,2
livingroom,sofa,livingroom__sofa,relaxed,54
livingroom,sofa,livingroom__sofa,retrieval,252
livingroom,table,livingroom__table,3dfront,5707
livingroom,table,livingroom__table,cube,56
livingroom,table,livingroom__table,infinigen,173
livingroom,table,livingroom__table,ollama_llm,2
livingroom,table,livingroom__table,relaxed,54
livingroom,table,livingroom__table,retrieval,252
livingroom,tv,livingroom__tv,3dfront,2360
livingroom,tv,livingroom__tv,cube,56
livingroom,tv,livingroom__tv,infinigen,65
livingroom,tv,livingroom__tv,ollama_llm,2
livingroom,tv,livingroom__tv,relaxed,54
livingroom,tv,livingroom__tv,retrieval,252
livingroom,wardrobe,livingroom__wardrobe,3dfront,118
office,cabinet,office__cabinet,cube,155
office,cabinet,office__cabinet,diffuscene,58
office,cabinet,office__cabinet,relaxed,155
office,cabinet,office__cabinet,retrieval,315
office,chair,office__chair,cube,212
office,chair,office__chair,diffuscene,46
office,chair,office__chair,relaxed,212
office,chair,office__chair,retrieval,252
office,decor,office__decor,cube,92
office,decor,office__decor,relaxed,92
office,decor,office__decor,retrieval,189
office,lamp,office__lamp,cube,212
office,lamp,office__lamp,diffuscene,56
office,lamp,office__lamp,relaxed,212
office,lamp,office__lamp,retrieval,252
office,table,office__table,cube,212
office,table,office__table,diffuscene,56
office,table,office__table,relaxed,212
office,table,office__table,retrieval,252
unknown_room,bed,unknown_room__bed,cube,1080
unknown_room,bed,unknown_room__bed,infinigen,4
unknown_room,bed,unknown_room__bed,m3dlayout,18
unknown_room,bed,unknown_room__bed,ollama_llm,139
unknown_room,bed,unknown_room__bed,random,60
unknown_room,bed,unknown_room__bed,relaxed,30
unknown_room,cabinet,unknown_room__cabinet,cube,987
unknown_room,cabinet,unknown_room__cabinet,infinigen,188
unknown_room,cabinet,unknown_room__cabinet,ollama_llm,12
unknown_room,cabinet,unknown_room__cabinet,random,22
unknown_room,chair,unknown_room__chair,cube,14
unknown_room,chair,unknown_room__chair,ollama_llm,17
unknown_room,chair,unknown_room__chair,random,9
unknown_room,chair,unknown_room__chair,relaxed,21
unknown_room,decor,unknown_room__decor,infinigen,226
unknown_room,decor,unknown_room__decor,m3dlayout,6
unknown_room,decor,unknown_room__decor,ollama_llm,49
unknown_room,double_bed,unknown_room__double_bed,diffuscene,2
unknown_room,lamp,unknown_room__lamp,cube,1012
unknown_room,lamp,unknown_room__lamp,diffuscene,3
unknown_room,lamp,unknown_room__lamp,infinigen,55
unknown_room,lamp,unknown_room__lamp,m3dlayout,6
unknown_room,lamp,unknown_room__lamp,ollama_llm,32
unknown_room,lamp,unknown_room__lamp,random,32
unknown_room,lamp,unknown_room__lamp,relaxed,15
unknown_room,nightstand,unknown_room__nightstand,cube,1997
unknown_room,nightstand,unknown_room__nightstand,diffuscene,4
unknown_room,nightstand,unknown_room__nightstand,m3dlayout,12
unknown_room,nightstand,unknown_room__nightstand,ollama_llm,248
unknown_room,nightstand,unknown_room__nightstand,random,53
unknown_room,nightstand,unknown_room__nightstand,relaxed,6
unknown_room,sofa,unknown_room__sofa,infinigen,12
unknown_room,table,unknown_room__table,cube,1012
unknown_room,table,unknown_room__table,infinigen,37
unknown_room,table,unknown_room__table,m3dlayout,2
unknown_room,table,unknown_room__table,ollama_llm,36
unknown_room,table,unknown_room__table,random,28
unknown_room,table,unknown_room__table,relaxed,8
unknown_room,tv,unknown_room__tv,infinigen,23
unknown_room,wardrobe,unknown_room__wardrobe,cube,1073
unknown_room,wardrobe,unknown_room__wardrobe,diffuscene,3
unknown_room,wardrobe,unknown_room__wardrobe,infinigen,4
unknown_room,wardrobe,unknown_room__wardrobe,m3dlayout,2
unknown_room,wardrobe,unknown_room__wardrobe,ollama_llm,143
unknown_room,wardrobe,unknown_room__wardrobe,random,58
unknown_room,wardrobe,unknown_room__wardrobe,relaxed,26
